y_hat: [0.11422243], y: [0]
y_hat: [0.08015601], y: [0]
y_hat: [0.17411252], y: [0]
y_hat: [0.06934632], y: [0]
y_hat: [0.17589334], y: [0]
y_hat: [0.07921086], y: [0]
y_hat: [0.079732], y: [0]
y_hat: [0.08842335], y: [1]
y_hat: [0.04073583], y: [1]
y_hat: [0.01698332], y: [0]
y_hat: [0.1004413], y: [1]
y_hat: [0.17140768], y: [1]
y_hat: [0.15227265], y: [0]
y_hat: [0.05302585], y: [0]
y_hat: [0.1743723], y: [0]
y_hat: [0.08338135], y: [0]
y_hat: [0.14903632], y: [0]
y_hat: [0.08243187], y: [0]
y_hat: [0.16184935], y: [0]
y_hat: [0.19444942], y: [1]
y_hat: [0.18042269], y: [0]
y_hat: [0.04849182], y: [0]
y_hat: [0.17463975], y: [0]
y_hat: [0.07835658], y: [0]
y_hat: [0.03902461], y: [0]
y_hat: [0.06641498], y: [1]
y_hat: [0.07327563], y: [0]
y_hat: [0.18229461], y: [0]
y_hat: [0.04307905], y: [1]
y_hat: [0.10306887], y: [0]
y_hat: [0.05045212], y: [1]
y_hat: [0.16369181], y: [0]
y_hat: [0.02928323], y: [0]
y_hat: [0.17577501], y: [0]
y_hat: [0.04006676], y: [0]
y_hat: [0.06191738], y: [0]
y_hat: [0.10281918], y: [1]
y_hat: [0.04181374], y: [1]
y_hat: [0.04341146], y: [0]
y_hat: [0.08832602], y: [1]
y_hat: [0.118339], y: [0]
y_hat: [0.08183416], y: [0]
y_hat: [0.16753921], y: [0]
y_hat: [0.10646898], y: [0]
y_hat: [0.04172215], y: [0]
y_hat: [0.17270921], y: [0]
y_hat: [0.01783244], y: [1]
y_hat: [0.0463104], y: [0]
y_hat: [0.03770385], y: [0]
y_hat: [0.07590553], y: [1]
y_hat: [0.17938841], y: [0]
y_hat: [0.10110943], y: [0]
y_hat: [0.02513723], y: [0]
y_hat: [0.12041872], y: [0]
y_hat: [0.0291752], y: [0]
y_hat: [0.12716259], y: [1]
y_hat: [0.11755679], y: [0]
y_hat: [0.12057559], y: [1]
y_hat: [0.09845161], y: [1]
y_hat: [0.03368021], y: [0]
y_hat: [0.05487173], y: [0]
y_hat: [0.05019807], y: [1]
y_hat: [0.07855661], y: [0]
y_hat: [0.15746982], y: [0]
y_hat: [0.09170325], y: [1]
y_hat: [0.09737112], y: [0]
y_hat: [0.04879396], y: [1]
y_hat: [0.15236647], y: [1]
y_hat: [0.09588426], y: [1]
y_hat: [0.02620808], y: [1]
y_hat: [0.10783472], y: [1]
y_hat: [0.06903214], y: [1]
y_hat: [0.05861675], y: [0]
y_hat: [0.1876884], y: [0]
y_hat: [0.04693766], y: [1]
y_hat: [0.09714079], y: [0]
y_hat: [0.14081273], y: [0]
y_hat: [0.15688278], y: [0]
y_hat: [0.05492481], y: [1]
y_hat: [0.08143386], y: [0]
y_hat: [0.04572774], y: [0]
y_hat: [0.2084871], y: [1]
y_hat: [0.02681853], y: [1]
y_hat: [0.06474063], y: [0]
y_hat: [0.15842759], y: [0]
y_hat: [0.20325377], y: [0]
y_hat: [0.18943839], y: [0]
y_hat: [0.20114224], y: [0]
y_hat: [0.17060711], y: [0]
y_hat: [0.1989729], y: [0]
y_hat: [0.07359887], y: [1]
y_hat: [0.19999721], y: [0]
y_hat: [0.05428591], y: [0]
y_hat: [0.11368617], y: [0]
y_hat: [0.1022834], y: [0]
y_hat: [0.07559498], y: [0]
y_hat: [0.08140319], y: [0]
y_hat: [0.12357092], y: [1]
y_hat: [0.10786372], y: [0]
y_hat: [0.13782698], y: [0]
y_hat: [0.20532732], y: [0]
y_hat: [0.18608108], y: [1]
y_hat: [0.1608957], y: [0]
y_hat: [0.05308881], y: [0]
y_hat: [0.2022412], y: [0]
y_hat: [0.10893091], y: [1]
y_hat: [0.13171878], y: [0]
y_hat: [0.19006576], y: [1]
y_hat: [0.08327441], y: [0]
y_hat: [0.26266537], y: [0]
y_hat: [0.06893124], y: [1]
y_hat: [0.11920499], y: [1]
y_hat: [0.2099986], y: [0]
y_hat: [0.20878206], y: [0]
y_hat: [0.20760504], y: [1]
